Symptom Description,Disease
"mild fever, sore throat, cough",Common Cold
"chills, fever, muscle aches, cough, headache",Flu
"cough, shortness of breath, chest pain, fatigue",Pneumonia
"muscle aches, fatigue, cough, headache, chills",Flu
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"nausea, headache, sensitivity to sound",Migraine
"persistent sadness, insomnia, loss of interest",Depression
"wheezing, coughing, chest tightness",Asthma
"cough, sneezing, mild fever, sore throat, runny nose, congestion",Common Cold
"mucus, slight fever, fatigue, cough",Bronchitis
"fatigue, blurred vision, frequent urination, weight loss, increased thirst",Diabetes
"rash, runny nose, congestion",Allergy
"mucus, cough, fatigue, slight fever, shortness of breath",Bronchitis
"difficulty concentrating, increased heart rate, nervousness, sweating",Anxiety
"difficulty concentrating, nervousness, increased heart rate, sweating",Anxiety
"blurred vision, increased thirst, fatigue, frequent urination, weight loss",Diabetes
"fever, fatigue, night sweats, weight loss, coughing",Tuberculosis
"chills, vomiting, fever, nausea, headache",Malaria
"congestion, sneezing, runny nose, rash",Allergy
"restlessness, increased heart rate, nervousness, difficulty concentrating",Anxiety
"dry cough, tiredness, fever, difficulty breathing, loss of smell, loss of taste",COVID-19
"chest tightness, shortness of breath, coughing",Asthma
"sneezing, congestion, cough, sore throat",Common Cold
"sneezing, sore throat, runny nose, cough, congestion",Common Cold
"loss of appetite, itching, fatigue",Chickenpox
"increased heart rate, sweating, nervousness, difficulty concentrating",Anxiety
"runny nose, rash, congestion, itchy eyes, sneezing",Allergy
"fever, weight loss, night sweats, fatigue",Tuberculosis
"shortness of breath, chest tightness, wheezing",Asthma
"chest tightness, shortness of breath, coughing",Asthma
"difficulty concentrating, nervousness, restlessness",Anxiety
"cough, sneezing, congestion",Common Cold
"congestion, cough, sneezing, runny nose, sore throat",Common Cold
"sore throat, mild fever, congestion, cough",Common Cold
"fatigue, weight loss, coughing, fever, night sweats",Tuberculosis
"headache, sensitivity to sound, nausea",Migraine
"increased thirst, blurred vision, frequent urination, weight loss, fatigue",Diabetes
"loss of appetite, fatigue, rash",Chickenpox
"loss of taste, loss of smell, dry cough, fever, difficulty breathing, tiredness",COVID-19
"loss of appetite, fever, fatigue, rash",Chickenpox
"sweating, restlessness, nervousness, difficulty concentrating",Anxiety
"vomiting, sensitivity to light, headache",Migraine
"fatigue, shortness of breath, fever",Pneumonia
"itching, fever, rash",Chickenpox
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"mild fever, congestion, cough, sneezing",Common Cold
"fever, night sweats, weight loss, fatigue, coughing",Tuberculosis
"coughing, weight loss, fatigue, night sweats",Tuberculosis
"chest tightness, shortness of breath, wheezing",Asthma
"sore throat, runny nose, congestion, cough, mild fever, sneezing",Common Cold
"chest pain, shortness of breath, fever, fatigue, cough",Pneumonia
"headache, nosebleeds, dizziness",Hypertension
"itchy eyes, runny nose, congestion, sneezing, rash",Allergy
"night sweats, fatigue, coughing",Tuberculosis
"runny nose, cough, congestion",Common Cold
"dry cough, loss of taste, tiredness, fever, difficulty breathing, loss of smell",COVID-19
"nausea, sweating, fever, headache",Malaria
"sensitivity to light, vomiting, sensitivity to sound",Migraine
"fatigue, cough, chest pain, shortness of breath, fever",Pneumonia
"rash, itchy eyes, sneezing, runny nose",Allergy
"nausea, chills, headache, sweating",Malaria
"sensitivity to light, sensitivity to sound, vomiting, nausea, headache",Migraine
"increased thirst, fatigue, weight loss",Diabetes
"insomnia, fatigue, changes in appetite, loss of interest",Depression
"sneezing, itchy eyes, runny nose, congestion",Allergy
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"wheezing, shortness of breath, chest tightness",Asthma
"fever, cough, muscle aches, chills, headache",Flu
"fever, fatigue, loss of appetite",Chickenpox
"sore throat, cough, mild fever, congestion, runny nose",Common Cold
"shortness of breath, fatigue, cough, mucus",Bronchitis
"nausea, headache, vomiting",Migraine
"fatigue, insomnia, persistent sadness, loss of interest",Depression
"headache, vomiting, sweating, fever",Malaria
"congestion, sneezing, runny nose, itchy eyes, rash",Allergy
"blurred vision, weight loss, increased thirst",Diabetes
"muscle aches, chills, fever, fatigue",Flu
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"sweating, chills, nausea, vomiting",Malaria
"nosebleeds, dizziness, headache",Hypertension
"sneezing, runny nose, sore throat, congestion",Common Cold
"night sweats, weight loss, fever",Tuberculosis
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"coughing, night sweats, fatigue, fever, weight loss",Tuberculosis
"weight loss, night sweats, fever",Tuberculosis
"headache, cough, chills",Flu
"slight fever, shortness of breath, fatigue, mucus, cough",Bronchitis
"fever, coughing, night sweats, fatigue",Tuberculosis
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"sneezing, rash, runny nose",Allergy
"sensitivity to light, nausea, headache, vomiting, sensitivity to sound",Migraine
"headache, muscle aches, chills",Flu
"nausea, sweating, vomiting, headache, fever",Malaria
"fatigue, headache, cough, muscle aches, chills",Flu
"loss of taste, fever, difficulty breathing, dry cough",COVID-19
"fever, night sweats, fatigue, weight loss",Tuberculosis
"blurred vision, frequent urination, fatigue, weight loss, increased thirst",Diabetes
"shortness of breath, fatigue, chest pain, fever, cough",Pneumonia
"dry cough, fever, loss of taste, loss of smell",COVID-19
"muscle aches, fever, headache",Flu
"vomiting, nausea, sensitivity to light, sensitivity to sound, headache",Migraine
"night sweats, fatigue, fever, weight loss",Tuberculosis
"changes in appetite, persistent sadness, loss of interest, insomnia, fatigue",Depression
"nausea, sensitivity to sound, vomiting",Migraine
"fever, dry cough, loss of smell, tiredness",COVID-19
"vomiting, sensitivity to light, sensitivity to sound",Migraine
"sneezing, itchy eyes, runny nose, rash, congestion",Allergy
"fever, fatigue, itching, rash",Chickenpox
"rash, fatigue, fever, itching, loss of appetite",Chickenpox
"sweating, fever, chills",Malaria
"nausea, vomiting, sensitivity to light, headache, sensitivity to sound",Migraine
"rash, fever, loss of appetite, fatigue, itching",Chickenpox
"dizziness, shortness of breath, nosebleeds, headache",Hypertension
"muscle aches, chills, fatigue, cough, headache",Flu
"blurred vision, increased thirst, frequent urination, fatigue",Diabetes
"fatigue, headache, cough",Flu
"coughing, wheezing, chest tightness, shortness of breath",Asthma
"fever, muscle aches, headache",Flu
"headache, dizziness, nosebleeds",Hypertension
"cough, chest pain, fever, shortness of breath, fatigue",Pneumonia
"rash, itchy eyes, sneezing",Allergy
"weight loss, blurred vision, fatigue, frequent urination, increased thirst",Diabetes
"nausea, fever, chills, sweating",Malaria
"headache, dizziness, nosebleeds",Hypertension
"runny nose, cough, mild fever, congestion",Common Cold
"itching, rash, fever, fatigue",Chickenpox
"shortness of breath, chest tightness, wheezing",Asthma
"sweating, fever, headache, nausea",Malaria
"congestion, runny nose, itchy eyes",Allergy
"shortness of breath, headache, nosebleeds, dizziness",Hypertension
"insomnia, persistent sadness, changes in appetite",Depression
"loss of appetite, fatigue, itching",Chickenpox
"restlessness, sweating, difficulty concentrating, nervousness",Anxiety
"fatigue, chills, headache, cough, muscle aches, fever",Flu
"fever, night sweats, fatigue, coughing, weight loss",Tuberculosis
"restlessness, difficulty concentrating, increased heart rate, sweating, nervousness",Anxiety
"loss of interest, changes in appetite, fatigue, persistent sadness",Depression
"chills, nausea, fever, headache",Malaria
"chills, muscle aches, fatigue, cough, fever, headache",Flu
"headache, sensitivity to sound, sensitivity to light",Migraine
"chest pain, fatigue, fever, cough",Pneumonia
"fatigue, loss of appetite, rash, itching",Chickenpox
"fever, fatigue, muscle aches, cough, headache",Flu
"headache, sensitivity to light, vomiting, nausea",Migraine
"fever, cough, chills",Flu
"headache, sensitivity to light, vomiting",Migraine
"fever, chest pain, fatigue, cough",Pneumonia
"sneezing, runny nose, itchy eyes, rash, congestion",Allergy
"insomnia, changes in appetite, persistent sadness",Depression
"chills, headache, vomiting, sweating, nausea, fever",Malaria
"vomiting, fever, nausea, sweating, headache",Malaria
"mucus, shortness of breath, cough, fatigue",Bronchitis
"fatigue, cough, chest pain, fever",Pneumonia
"difficulty concentrating, nervousness, sweating",Anxiety
"vomiting, sensitivity to sound, nausea",Migraine
"fatigue, coughing, weight loss, night sweats",Tuberculosis
"cough, shortness of breath, fever, chest pain, fatigue",Pneumonia
"congestion, itchy eyes, rash, sneezing, runny nose",Allergy
"loss of smell, loss of taste, dry cough, difficulty breathing, fever",COVID-19
"blurred vision, frequent urination, weight loss",Diabetes
"increased heart rate, nervousness, restlessness, sweating, difficulty concentrating",Anxiety
"mild fever, congestion, runny nose",Common Cold
"cough, chest pain, shortness of breath",Pneumonia
"headache, dizziness, shortness of breath, nosebleeds",Hypertension
"sneezing, congestion, mild fever",Common Cold
"blurred vision, weight loss, frequent urination",Diabetes
"fatigue, headache, cough",Flu
"persistent sadness, loss of interest, insomnia",Depression
"fatigue, fever, rash, loss of appetite, itching",Chickenpox
"night sweats, fever, coughing, weight loss",Tuberculosis
"fever, headache, fatigue",Flu
"congestion, rash, itchy eyes, runny nose",Allergy
"nervousness, sweating, restlessness, increased heart rate",Anxiety
"headache, chills, muscle aches, fever, cough, fatigue",Flu
"fever, chest pain, fatigue, shortness of breath",Pneumonia
"sneezing, rash, itchy eyes, runny nose",Allergy
"fever, difficulty breathing, loss of taste, tiredness, dry cough",COVID-19
"fever, loss of taste, difficulty breathing, loss of smell, tiredness",COVID-19
"itching, rash, fatigue, loss of appetite",Chickenpox
"loss of taste, fever, dry cough, loss of smell, tiredness",COVID-19
"nervousness, sweating, difficulty concentrating, increased heart rate",Anxiety
"tiredness, difficulty breathing, dry cough, loss of smell, loss of taste",COVID-19
"sneezing, itchy eyes, rash, runny nose, congestion",Allergy
"itchy eyes, rash, congestion",Allergy
"mucus, cough, fatigue, shortness of breath",Bronchitis
"runny nose, sneezing, itchy eyes",Allergy
"chills, sweating, fever",Malaria
"nosebleeds, dizziness, shortness of breath, headache",Hypertension
"fatigue, coughing, night sweats, weight loss",Tuberculosis
"chest pain, fever, cough, fatigue",Pneumonia
"cough, shortness of breath, slight fever",Bronchitis
"headache, sensitivity to light, nausea, vomiting, sensitivity to sound",Migraine
"coughing, weight loss, fatigue",Tuberculosis
"night sweats, weight loss, coughing, fatigue, fever",Tuberculosis
"runny nose, itchy eyes, rash, congestion",Allergy
"cough, sore throat, sneezing, mild fever",Common Cold
"difficulty concentrating, restlessness, nervousness, sweating, increased heart rate",Anxiety
"cough, fatigue, shortness of breath, mucus, slight fever",Bronchitis
"coughing, wheezing, chest tightness",Asthma
"shortness of breath, chest tightness, coughing, wheezing",Asthma
"nervousness, increased heart rate, difficulty concentrating, restlessness",Anxiety
"night sweats, coughing, fever, fatigue, weight loss",Tuberculosis
"vomiting, headache, sensitivity to sound",Migraine
"fatigue, muscle aches, chills",Flu
"shortness of breath, wheezing, chest tightness",Asthma
"dizziness, shortness of breath, nosebleeds",Hypertension
"sensitivity to light, nausea, headache",Migraine
"cough, chest pain, shortness of breath, fatigue, fever",Pneumonia
"sore throat, runny nose, congestion, mild fever",Common Cold
"persistent sadness, loss of interest, changes in appetite",Depression
"loss of appetite, rash, fatigue, itching",Chickenpox
"changes in appetite, fatigue, loss of interest",Depression
"fever, itching, fatigue, loss of appetite",Chickenpox
"shortness of breath, chest tightness, coughing",Asthma
"dry cough, fever, tiredness, loss of taste, loss of smell, difficulty breathing",COVID-19
"sneezing, runny nose, itchy eyes, congestion",Allergy
"runny nose, sneezing, congestion, itchy eyes, rash",Allergy
"fever, cough, shortness of breath",Pneumonia
"sneezing, itchy eyes, runny nose",Allergy
"cough, shortness of breath, mucus, fatigue",Bronchitis
"blurred vision, increased thirst, frequent urination, weight loss",Diabetes
"increased heart rate, restlessness, sweating",Anxiety
"dry cough, loss of taste, tiredness, loss of smell",COVID-19
"rash, itchy eyes, runny nose, congestion, sneezing",Allergy
"fatigue, increased thirst, blurred vision, weight loss, frequent urination",Diabetes
"loss of interest, changes in appetite, insomnia, persistent sadness",Depression
"fatigue, chills, cough, fever, muscle aches, headache",Flu
"congestion, cough, sore throat, runny nose, mild fever, sneezing",Common Cold
"coughing, chest tightness, wheezing",Asthma
"sweating, headache, nausea",Malaria
"slight fever, fatigue, shortness of breath",Bronchitis
"mild fever, sneezing, cough, runny nose, sore throat, congestion",Common Cold
"sneezing, runny nose, rash, itchy eyes, congestion",Allergy
"fatigue, persistent sadness, insomnia, changes in appetite",Depression
"runny nose, congestion, rash, itchy eyes",Allergy
"fatigue, fever, muscle aches, headache",Flu
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"dry cough, loss of taste, fever, tiredness, difficulty breathing",COVID-19
"sensitivity to light, nausea, sensitivity to sound",Migraine
"tiredness, dry cough, fever, difficulty breathing, loss of taste",COVID-19
"cough, runny nose, sneezing, sore throat",Common Cold
"nervousness, restlessness, sweating, increased heart rate, difficulty concentrating",Anxiety
"itchy eyes, congestion, sneezing",Allergy
"difficulty concentrating, increased heart rate, restlessness, nervousness",Anxiety
"runny nose, sneezing, sore throat, congestion",Common Cold
"sneezing, itchy eyes, rash, runny nose",Allergy
"wheezing, coughing, chest tightness",Asthma
"weight loss, frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"runny nose, congestion, rash",Allergy
"headache, vomiting, nausea, sensitivity to sound, sensitivity to light",Migraine
"blurred vision, fatigue, frequent urination, weight loss",Diabetes
"shortness of breath, cough, mucus, fatigue",Bronchitis
"insomnia, changes in appetite, loss of interest",Depression
"fatigue, chills, fever, cough",Flu
"cough, fatigue, mucus, shortness of breath, slight fever",Bronchitis
"fever, dry cough, loss of smell",COVID-19
"runny nose, mild fever, cough, congestion",Common Cold
"muscle aches, cough, chills, headache, fatigue",Flu
"weight loss, fatigue, night sweats, coughing",Tuberculosis
"night sweats, coughing, fever, weight loss",Tuberculosis
"fever, fatigue, shortness of breath, cough, chest pain",Pneumonia
"fever, chills, headache, cough",Flu
"chest pain, shortness of breath, cough",Pneumonia
"dry cough, tiredness, fever, loss of taste, difficulty breathing, loss of smell",COVID-19
"fever, loss of appetite, rash",Chickenpox
"fatigue, shortness of breath, mucus, slight fever, cough",Bronchitis
"cough, chest pain, shortness of breath",Pneumonia
"fatigue, increased thirst, frequent urination, weight loss, blurred vision",Diabetes
"chest tightness, coughing, shortness of breath",Asthma
"headache, vomiting, sensitivity to light, sensitivity to sound, nausea",Migraine
"chills, fever, nausea",Malaria
"shortness of breath, cough, fatigue, fever",Pneumonia
"chills, cough, fever, fatigue, headache, muscle aches",Flu
"nausea, sensitivity to light, sensitivity to sound, headache, vomiting",Migraine
"changes in appetite, persistent sadness, fatigue, loss of interest",Depression
"runny nose, congestion, cough, sore throat, mild fever, sneezing",Common Cold
"wheezing, shortness of breath, chest tightness, coughing",Asthma
"vomiting, fever, sweating, nausea, chills",Malaria
"vomiting, sensitivity to sound, sensitivity to light",Migraine
"sneezing, runny nose, itchy eyes, rash, congestion",Allergy
"weight loss, fever, coughing, night sweats",Tuberculosis
"loss of smell, loss of taste, tiredness, difficulty breathing",COVID-19
"vomiting, nausea, sensitivity to sound",Migraine
"weight loss, fever, fatigue, night sweats",Tuberculosis
"difficulty breathing, tiredness, dry cough, fever, loss of smell",COVID-19
"vomiting, chills, headache, sweating, nausea",Malaria
"fatigue, cough, fever, chest pain, shortness of breath",Pneumonia
"muscle aches, fever, chills, headache",Flu
"cough, sore throat, congestion",Common Cold
"fever, chills, headache, muscle aches, fatigue, cough",Flu
"fever, muscle aches, chills",Flu
"loss of interest, fatigue, insomnia, persistent sadness, changes in appetite",Depression
"fever, cough, fatigue",Pneumonia
"persistent sadness, loss of interest, fatigue",Depression
"frequent urination, weight loss, fatigue",Diabetes
"frequent urination, weight loss, fatigue, blurred vision",Diabetes
"night sweats, coughing, weight loss",Tuberculosis
"rash, sneezing, runny nose",Allergy
"restlessness, difficulty concentrating, sweating",Anxiety
"loss of smell, tiredness, fever",COVID-19
"sensitivity to light, vomiting, nausea",Migraine
"rash, sneezing, itchy eyes",Allergy
"fatigue, weight loss, blurred vision, increased thirst, frequent urination",Diabetes
"sweating, restlessness, increased heart rate, nervousness",Anxiety
"loss of appetite, itching, fatigue",Chickenpox
"difficulty breathing, fever, loss of smell",COVID-19
"restlessness, difficulty concentrating, increased heart rate, sweating",Anxiety
"itching, loss of appetite, fever, fatigue, rash",Chickenpox
"rash, itching, loss of appetite",Chickenpox
"fever, headache, cough",Flu
"chills, vomiting, headache, sweating",Malaria
"coughing, weight loss, fatigue, fever, night sweats",Tuberculosis
"shortness of breath, fatigue, cough, mucus, slight fever",Bronchitis
"loss of smell, dry cough, fever, tiredness, loss of taste, difficulty breathing",COVID-19
"loss of interest, insomnia, fatigue",Depression
"coughing, wheezing, shortness of breath",Asthma
"persistent sadness, insomnia, changes in appetite, loss of interest",Depression
"fever, loss of smell, tiredness",COVID-19
"loss of smell, dry cough, difficulty breathing",COVID-19
"chills, headache, vomiting, fever, nausea, sweating",Malaria
"difficulty breathing, fever, tiredness",COVID-19
"congestion, runny nose, itchy eyes, rash",Allergy
"headache, sensitivity to light, nausea, vomiting",Migraine
"wheezing, coughing, chest tightness",Asthma
"congestion, sneezing, runny nose",Allergy
"shortness of breath, chest tightness, coughing, wheezing",Asthma
"itching, rash, fever, fatigue",Chickenpox
"sneezing, itchy eyes, congestion",Allergy
"cough, fever, fatigue, headache, muscle aches, chills",Flu
"cough, congestion, sore throat, mild fever, sneezing, runny nose",Common Cold
"congestion, rash, itchy eyes",Allergy
"weight loss, fatigue, coughing, night sweats, fever",Tuberculosis
"cough, fatigue, slight fever, shortness of breath",Bronchitis
"rash, itching, fever, loss of appetite, fatigue",Chickenpox
"shortness of breath, dizziness, headache, nosebleeds",Hypertension
"itchy eyes, rash, runny nose, sneezing, congestion",Allergy
"sweating, difficulty concentrating, nervousness",Anxiety
"dizziness, headache, nosebleeds",Hypertension
"fatigue, itching, fever, rash, loss of appetite",Chickenpox
"muscle aches, fatigue, headache",Flu
"changes in appetite, fatigue, loss of interest, persistent sadness, insomnia",Depression
"dizziness, nosebleeds, headache, shortness of breath",Hypertension
"shortness of breath, cough, fever, chest pain, fatigue",Pneumonia
"persistent sadness, changes in appetite, loss of interest, fatigue, insomnia",Depression
"sweating, increased heart rate, difficulty concentrating",Anxiety
"headache, vomiting, sweating",Malaria
"mild fever, sore throat, cough, congestion",Common Cold
"headache, fever, fatigue",Flu
"fatigue, weight loss, night sweats, fever, coughing",Tuberculosis
"fatigue, frequent urination, blurred vision",Diabetes
"fatigue, weight loss, blurred vision",Diabetes
"difficulty breathing, loss of smell, loss of taste, tiredness, dry cough, fever",COVID-19
"itching, rash, fever, fatigue, loss of appetite",Chickenpox
"nausea, sweating, vomiting, fever",Malaria
"slight fever, cough, shortness of breath, fatigue",Bronchitis
"vomiting, nausea, headache",Malaria
"sneezing, rash, itchy eyes",Allergy
"dizziness, headache, nosebleeds",Hypertension
"night sweats, coughing, weight loss, fatigue",Tuberculosis
"fatigue, changes in appetite, persistent sadness, insomnia, loss of interest",Depression
"headache, sensitivity to light, sensitivity to sound, vomiting",Migraine
"sweating, difficulty concentrating, restlessness",Anxiety
"headache, fever, muscle aches",Flu
"sensitivity to light, nausea, vomiting, headache",Migraine
"persistent sadness, loss of interest, fatigue, insomnia, changes in appetite",Depression
"cough, runny nose, mild fever",Common Cold
"sweating, restlessness, increased heart rate, difficulty concentrating",Anxiety
"persistent sadness, fatigue, changes in appetite, insomnia, loss of interest",Depression
"rash, itchy eyes, runny nose",Allergy
"increased thirst, frequent urination, weight loss, fatigue, blurred vision",Diabetes
"dry cough, difficulty breathing, loss of smell, fever",COVID-19
"chills, headache, fever, muscle aches",Flu
"shortness of breath, headache, nosebleeds",Hypertension
"fatigue, fever, shortness of breath, cough",Pneumonia
"cough, slight fever, shortness of breath, mucus",Bronchitis
"coughing, shortness of breath, wheezing, chest tightness",Asthma
"congestion, rash, itchy eyes, sneezing",Allergy
"weight loss, frequent urination, fatigue, increased thirst",Diabetes
"blurred vision, weight loss, frequent urination, increased thirst, fatigue",Diabetes
"fatigue, chest pain, fever, cough, shortness of breath",Pneumonia
"difficulty concentrating, increased heart rate, restlessness, nervousness",Anxiety
"rash, itching, fatigue, fever",Chickenpox
"sweating, restlessness, difficulty concentrating",Anxiety
"rash, runny nose, sneezing, itchy eyes, congestion",Allergy
"fatigue, blurred vision, frequent urination, weight loss, increased thirst",Diabetes
"rash, loss of appetite, itching",Chickenpox
"fatigue, fever, shortness of breath, cough, chest pain",Pneumonia
"persistent sadness, loss of interest, changes in appetite, insomnia",Depression
"sore throat, runny nose, cough, sneezing, mild fever, congestion",Common Cold
"rash, itchy eyes, runny nose, sneezing, congestion",Allergy
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"shortness of breath, chest pain, fatigue",Pneumonia
"coughing, wheezing, shortness of breath",Asthma
"cough, fatigue, muscle aches, fever",Flu
"frequent urination, fatigue, blurred vision, increased thirst",Diabetes
"fatigue, mucus, cough, shortness of breath, slight fever",Bronchitis
"cough, slight fever, fatigue, shortness of breath, mucus",Bronchitis
"insomnia, loss of interest, changes in appetite, fatigue, persistent sadness",Depression
"nausea, fever, chills, vomiting, headache, sweating",Malaria
"fatigue, loss of appetite, fever, itching, rash",Chickenpox
"fever, night sweats, coughing, fatigue",Tuberculosis
"sneezing, rash, congestion, itchy eyes",Allergy
"fever, tiredness, dry cough, loss of smell, difficulty breathing, loss of taste",COVID-19
"fever, muscle aches, fatigue",Flu
"dry cough, tiredness, loss of taste",COVID-19
"fatigue, frequent urination, weight loss, blurred vision",Diabetes
"fever, weight loss, fatigue, coughing, night sweats",Tuberculosis
"runny nose, itchy eyes, sneezing, congestion",Allergy
"vomiting, nausea, sensitivity to sound, sensitivity to light, headache",Migraine
"frequent urination, weight loss, fatigue",Diabetes
"sore throat, runny nose, cough",Common Cold
